rank,company,ticker,cik,fiscal_year,current_federal,current_state,current_foreign,total_current,deferred_federal,deferred_state,deferred_foreign,total_deferred,total_tax_expense,pretax_income,effective_tax_rate,cash_taxes_paid
86,Nike Inc.,NKE,0000320187,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,131.00",0.00,0.00%,0.00
87,Best Buy Co. Inc.,BBY,0000764478,2025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,372.00,0.00,22.60%,0.00
87,Best Buy Co. Inc.,BBY,0000764478,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,381.00,0.00,0.00%,0.00
87,Best Buy Co. Inc.,BBY,0000764478,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,370.00,0.00,0.00%,0.00
88,Abbott Laboratories,ABT,0000001800,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
88,Abbott Laboratories,ABT,0000001800,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
89,Publix Super Markets Inc.,N/A,0001041061,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00%,0.00
89,Publix Super Markets Inc.,N/A,0001041061,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
90,Oracle Corp.,ORCL,0001341439,2025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,717.00",0.00,15.00%,0.00
90,Oracle Corp.,ORCL,0001341439,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,274.00",0.00,0.00%,0.00
90,Oracle Corp.,ORCL,0001341439,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,623.00,0.00,0.00%,0.00
91,Deere & Co.,DE,0000315189,2025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,259.00",0.00,0.00%,0.00
91,Deere & Co.,DE,0000315189,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,094.00",0.00,0.00%,0.00
91,Deere & Co.,DE,0000315189,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,871.00",0.00,0.00%,0.00
94,Netflix Inc.,NFLX,0001065280,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,254,026.00",0.00,0.00%,0.00
94,Netflix Inc.,NFLX,0001065280,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"797,415.00",0.00,0.00%,0.00
94,Netflix Inc.,NFLX,0001065280,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"772,005.00",0.00,0.00%,0.00
95,Bristol-Myers Squibb Co.,BMY,0000014272,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00%,0.00
95,Bristol-Myers Squibb Co.,BMY,0000014272,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
96,Travelers Companies Inc.,TRV,0000086312,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,102.00",0.00,0.00%,0.00
96,Travelers Companies Inc.,TRV,0000086312,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,900.00,0.00,0.00%,0.00
96,Travelers Companies Inc.,TRV,0000086312,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
97,Nucor Corp.,NUE,0000073309,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,583.00,0.00,6.60%,0.00
97,Nucor Corp.,NUE,0000073309,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,360.00",0.00,0.00%,0.00
97,Nucor Corp.,NUE,0000073309,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,166.00",0.00,0.00%,0.00
98,Tyson Foods Inc.,TSN,0000100493,2025,0.00,338.00,0.00,338.00,0.00,-76.00,0.00,-76.00,262.00,0.00,0.00%,0.00
98,Tyson Foods Inc.,TSN,0000100493,2024,0.00,315.00,0.00,315.00,0.00,-45.00,0.00,-45.00,270.00,0.00,0.00%,0.00
98,Tyson Foods Inc.,TSN,0000100493,2023,0.00,154.00,0.00,154.00,0.00,-183.00,0.00,-183.00,-29.00,0.00,0.00%,0.00
